,docid,model,nonfactual_spans,evidence,summary,factual_error,error_type,dialogue,origin,linguistic_categories
88,13730529,GPT-4,[],[],"Mark revealed to his sister about Mary's online job, despite her preference to keep it private. He did so out of pride, inadvertently causing his sister to question Mary's employers and spread word about her job. Mary expressed her discomfort with this, finding his sister's behaviour intrusive and possibly jealous. Eventually, Mark apologized and promised to be more careful in future. The two exchanged expressions of love, and Mary appeared to be relaxed and cool about the situation.",0,[],"Mary: Did you tell your sister I am doing online job?
Mark: yes !
Mary: why
Mark: because she keep saying your good for nothing?
Mary: dint I tell you I dont care?
Mark: what happened?
Mary: see I dont want to prove anything to anyone..
Mark: I know but I was just feeling proud so it was kind of show off
Mary: she is asking everyone and trying to get to the people I am working for
Mark: really!! I am sorry for that
Mary: dont be! I understand your feelings  but u know how she is
Mark: I know!! :? 
Mary: dont be sad now its ok.. she cant do much about it chill its ok but just be careful
Mark: I will be ..
Mary: btw it feels good that she is so jealous :P
Mark: lol my aim was to make her feel jealous
Mary: but i dont like it that she tries to contact the people i am working for ... what does she want?
Mark: may be she wants to confirm if its true... because its not easy to digest that your working from home and earning well!!!
Mary: whatever i just hate her
Mark: chill now .... :) love you
Mary: i am chilled :cool: ... love you too honey",FacEval,[]
89,13730529,Alpaca-13B,['Mary is annoyed with her sister '],['Mary :  Did you tell your sister I am doing online job?'],Mary and Mark are discussing Mary's online job. Mark is feeling proud and Mary is annoyed with her sister who is trying to contact the people Mary is working for. Mark is apologetic and Mary is trying to stay calm. They both love each other.,1,['Intrinsic_Error'],"Mary: Did you tell your sister I am doing online job?
Mark: yes !
Mary: why
Mark: because she keep saying your good for nothing?
Mary: dint I tell you I dont care?
Mark: what happened?
Mary: see I dont want to prove anything to anyone..
Mark: I know but I was just feeling proud so it was kind of show off
Mary: she is asking everyone and trying to get to the people I am working for
Mark: really!! I am sorry for that
Mary: dont be! I understand your feelings  but u know how she is
Mark: I know!! :? 
Mary: dont be sad now its ok.. she cant do much about it chill its ok but just be careful
Mark: I will be ..
Mary: btw it feels good that she is so jealous :P
Mark: lol my aim was to make her feel jealous
Mary: but i dont like it that she tries to contact the people i am working for ... what does she want?
Mark: may be she wants to confirm if its true... because its not easy to digest that your working from home and earning well!!!
Mary: whatever i just hate her
Mark: chill now .... :) love you
Mary: i am chilled :cool: ... love you too honey",FacEval,['Referential Error']
91,test_210,BART,"['Bill', '#Person1#']",[],Bill tells #Person1# the workmen forgot about the wet cement and walked across it without a notice.,1,"['Intrinsic_Error', 'Intrinsic_Error']","#Person1#: You mustn't touch the wet paint, Bill.
#Person2#: I'm sorry. I won't do it again.
#Person1#: Try to be more careful in future.
#Person2#: I shall. I wasn't as careless as John Sampson. He walked across that wet cement over there.
#Person1#: The workmen oughtn't to leave it without a notice.
#Person2#: The headmaster asked them not to do so.
#Person1#: Then why isn't there a notice?
#Person2#: They went to their stores to get one. Here they come with it now!
#Person1#: But look at them! They've forgotten about the wet cement and they're walking across it to put up the notice!",DialogSum,"['Referential Error', 'Referential Error']"
94,test_210,GPT-4,[],[],"Person1 and Person2 discuss not touching wet paint and being careful. Person2 mentions that John Sampson was careless and walked across wet cement. Person1 notes the workers should have placed a notice and Person2 informs them that the headmaster asked the same. It turns out, the workers went to retrieve a notice, however, ironically, they walk across the wet cement themselves to put it up.",0,[],"#Person1#: You mustn''t touch the wet paint, Bill.
#Person2#: I''m sorry. I won''t do it again.
#Person1#: Try to be more careful in future.
#Person2#: I shall. I wasn''t as careless as John Sampson. He walked across that wet cement over there.
#Person1#: The workmen oughtn''t to leave it without a notice.
#Person2#: The headmaster asked them not to do so.
#Person1#: Then why isn''t there a notice?
#Person2#: They went to their stores to get one. Here they come with it now!
#Person1#: But look at them! They''ve forgotten about the wet cement and they''re walking across it to put up the notice!",DialogSum,[]
95,test_210,Alpaca-13B,['Person1 mentions that John Sampson walked across the wet cement'],"[""#Person2# :  I shall. I wasn't as careless as John Sampson. He walked across that wet cement over there.""]","Person1 and Person2 are talking about the wet paint. Person1 warns Person2 not to touch the wet paint. Person2 apologizes and promises to be more careful in the future. Person1 mentions that John Sampson walked across the wet cement. Person2 says the headmaster asked the workmen not to leave the wet cement without a notice. Person1 wonders why there isn't a notice yet, and Person2 replies that the workmen had gone to get one, but they've forgotten and are walking across the wet cement to put up the notice.",1,['Intrinsic_Error'],"#Person1#: You mustn''t touch the wet paint, Bill.
#Person2#: I''m sorry. I won''t do it again.
#Person1#: Try to be more careful in future.
#Person2#: I shall. I wasn''t as careless as John Sampson. He walked across that wet cement over there.
#Person1#: The workmen oughtn''t to leave it without a notice.
#Person2#: The headmaster asked them not to do so.
#Person1#: Then why isn''t there a notice?
#Person2#: They went to their stores to get one. Here they come with it now!
#Person1#: But look at them! They''ve forgotten about the wet cement and they''re walking across it to put up the notice!",DialogSum,['Referential Error']
97,13829232,BART,[],[],Phil is on his way from one client to another. Rob needs to talk to Phil in person tomorrow morning.,0,[],"Phil: I hear you are looking for me?
Rob: I do! Where the hell are you?
Phil: At the moment I'm on my way from one client to another. Why?
Rob: When can you be at the office?
Rob: I've got to talk to you.
Phil: What's so urgent?
Rob: Can't tell you.
Phil: What?!
Rob: I mean can't tell you now.
Rob: I need to see you in person.
Phil: Well, it'll have to wait till tomorrow. I'm out of town.
Rob: Can you be in my office first thing tomorrow morning?
Phil: let me check.
Phil: Yep. I can do it.
Rob: Cool. See you tomorrow then.
Phil: See you.",SAMSum,[]
100,13829232,GPT-4,[],[],"Rob is urgently seeking Phil for a discussion which he prefers to have in person. Phil is currently out of town, transiting between clients, and can't meet until the next day. After checking his schedule, Phil confirms he can meet Rob first thing in the morning at his office.",0,[],"Phil: I hear you are looking for me?
Rob: I do! Where the hell are you?
Phil: At the moment I''m on my way from one client to another. Why?
Rob: When can you be at the office?
Rob: I''ve got to talk to you.
Phil: What''s so urgent?
Rob: Can''t tell you.
Phil: What?!
Rob: I mean can''t tell you now.
Rob: I need to see you in person.
Phil: Well, it''ll have to wait till tomorrow. I''m out of town.
Rob: Can you be in my office first thing tomorrow morning?
Phil: let me check.
Phil: Yep. I can do it.
Rob: Cool. See you tomorrow then.
Phil: See you.",SAMSum,[]
101,13829232,Alpaca-13B,[],[],Phil and Rob had a short conversation about Phil's whereabouts. Rob wanted to talk to Phil in person and asked him to come to the office the next morning. Phil agreed and they ended the conversation.,0,[],"Phil: I hear you are looking for me?
Rob: I do! Where the hell are you?
Phil: At the moment I''m on my way from one client to another. Why?
Rob: When can you be at the office?
Rob: I''ve got to talk to you.
Phil: What''s so urgent?
Rob: Can''t tell you.
Phil: What?!
Rob: I mean can''t tell you now.
Rob: I need to see you in person.
Phil: Well, it''ll have to wait till tomorrow. I''m out of town.
Rob: Can you be in my office first thing tomorrow morning?
Phil: let me check.
Phil: Yep. I can do it.
Rob: Cool. See you tomorrow then.
Phil: See you.",SAMSum,[]
103,test_91,BART,[],[],##Person2# helps #Person1# rent an economy car.,0,[],"#Person1#: How much is it to rent an economy car? 
#Person2#: $19 a day or$129 a week, unlimited mileage. 
#Person1#: Could I have one for tomorrow morning? 
#Person2#: Could I see your driver's license? 
#Person1#: Sure here it is. 
#Person2#: Good. Now just complete this form. ",DialogSum,[]
106,test_91,GPT-4,[],[],"Person1 inquires about the cost of renting an economy car, which Person2 informs is $19 per day or $129 per week with unlimited mileage. Person1 then requests to rent one for the following morning. Person2 asks for their driver's license and directs them to complete a form.",0,[],"#Person1#: How much is it to rent an economy car? 
#Person2#: $19 a day or$129 a week, unlimited mileage. 
#Person1#: Could I have one for tomorrow morning? 
#Person2#: Could I see your driver''s license? 
#Person1#: Sure here it is. 
#Person2#: Good. Now just complete this form. ",DialogSum,[]
107,test_91,Alpaca-13B,[],[],A person inquires about the cost of renting an economy car and provides their driver's license as identification.,0,[],"#Person1#: How much is it to rent an economy car? 
#Person2#: $19 a day or$129 a week, unlimited mileage. 
#Person1#: Could I have one for tomorrow morning? 
#Person2#: Could I see your driver''s license? 
#Person1#: Sure here it is. 
#Person2#: Good. Now just complete this form. ",DialogSum,[]
109,test_309,BART,['plan to'],[],"##Person1# and #Person2# are talking about the history of London. They plan to visit Westminster Abbey, the famous castle and prison, and the crown jewels.",1,['Intrinsic_Error'],"#Person1#: London is such a historic city! There's history everywhere you look. There's nelson's column, built as a monument to one of the Britain's great admirals and his important victory. He won the battle of
#Person2#: I'm looking forward to seeing Westminster abbey, where many historic figures are buried, like Isaac Newton, the great mathematician and Winston Churchill, the great wartime leader.
#Person1#: Nearby, on the banks of the thames, there's the statue of Boadicea. She fought the Romans when they invaded Britain.
#Person2#: Women have often played an important role in british history. Queen Elizabeth I built a navy strong enough to fight off the Spanish armada in 1588. more recently, Margaret thatcher transformed british
#Person1#: She was a very controversial leader. Are we going to visit the famous tower of London later?
#Person2#: There's a lot to see there. Perhaps we should go tomorrow.
#Person1#: I'm looking forward to seeing the famous castle and prison. Many historic figures were imprisoned there in the past. I really want to see the crown jewels too.
#Person2#: I'Ve seen them before. They're quite incredible. If you want to see historical figures in London, there's one place you have to go.
#Person1#: Where's that? Oh, I know! Madame Tussaud's the waxworks museum.
#Person2#: There you can see british leaders, entertainers, criminals, and royalty.
#Person1#: Sometimes, it's hard to know who belongs in each section of the museum!",DialogSum,['Logical Error']
